StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q3_5_TEXT,Q4,Q5,Q5_4_TEXT,Q6,Q6_4_TEXT,Q7,Q8,Q9,Q10,Q11,Q12_NPS_GROUP,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age group?,What is your gender?,Which study program or specialization are you pursuing in your master's degree? - Selected Choice,Which study program or specialization are you pursuing in your master's degree? - Other (Please Specify) - Text,How often do you purchase Nike products?,Which of the following Nike products have you purchased in the past year? (Select all that apply) - Selected Choice,Which of the following Nike products have you purchased in the past year? (Select all that apply) - Other (please specify) - Text,How do you typically purchase Nike products? - Selected Choice,How do you typically purchase Nike products? - Other (please specify) - Text,"Please rate your overall satisfaction with the Nike products you have purchased on a scale of 1 to 5 (1 = Very Dissatisfied, 5 = Very Satisfied).","How would you rate the quality of Nike products on a scale of 1 to 5 (1 = Poor, 5 = Excellent)?","How would you rate the value for money of Nike products on a scale of 1 to 5 (1 = Poor, 5 = Excellent)?",Have you ever contacted Nike's customer service?,"Please rate your overall satisfaction with Nike's customer service on a scale of 1 to 5 (1 = Very Dissatisfied, 5 = Very Satisfied).","On a scale of 0 to 10, how likely are you to recommend Nike to a friend or colleague? (0 = Not likely at all, 10 = Extremely likely) - Group","On a scale of 0 to 10, how likely are you to recommend Nike to a friend or colleague? (0 = Not likely at all, 10 = Extremely likely)",Have you ever purchased Nike product because it was fashionable or trendy?,How likely are you to purchase Nike product that is fashionable or trendy?,How much are you willing to spend on Nike products?,How much of a factor does the price of Nike products play in your purchase decision?,How important is the design of Nike products when making a purchase decision?,How likely are you to purchase Nike products if they have a design that aligns with current fashion trends?,"In your own words, what do you like most about Nike products or services?","In your own words, what do you think Nike could improve in their products or services?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_5_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_4_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_4_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15_NPS_GROUP""}","{""ImportId"":""QID15""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID24""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}"
2023-04-13 18:13:14,2023-04-13 18:13:27,1,,100,13,1,2023-04-13 18:13:29,R_2E6MouxLze2nS6k,,,,,42.262,-71.8007,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-13 18:17:31,2023-04-13 18:23:50,0,107.77.225.80,100,379,1,2023-04-13 18:23:51,R_1GwU2NIyjQfheMz,,,,,40.6221,-73.981,anonymous,EN,3,1,2,,4,1,,4,both,5,4,4,2,4,3,9,,,,,,,Nikelab can help me to design my style shoes.,
2023-04-15 14:32:49,2023-04-15 14:34:04,0,140.232.186.206,100,74,1,2023-04-15 14:34:04,R_3lPLwAxSwYeHqNr,,,,,42.2474,-71.8069,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-15 15:54:59,2023-04-15 15:59:10,0,76.118.196.216,100,250,1,2023-04-15 15:59:11,R_1hJTP7o3BvHmWcb,,,,,42.3474,-71.1582,anonymous,EN,5,2,5,instructor,2,"1,2",,1,,4,4,3,2,3,1,6,1,2,4,1,2,2,Design,Extending their product lines on footwear
2023-04-15 16:11:17,2023-04-15 16:12:44,0,140.232.187.50,100,86,1,2023-04-15 16:12:44,R_2tu6ICweADOpa4j,,,,,41.9082,-71.1031,anonymous,EN,7,3,5,"Nothing ",1,1,,3,,4,2,2,2,4,2,8,2,4,4,4,4,4,"Superb ","Superb "
2023-04-15 17:28:08,2023-04-15 17:30:22,0,24.177.245.245,100,134,1,2023-04-15 17:30:23,R_zSudSNBhmEJZMMV,,,,,42.2474,-71.8069,anonymous,EN,2,2,2,,4,1,,1,,5,4,4,2,4,2,8,1,2,3,2,2,2,"S, it's very comfortable",
2023-04-15 17:29:55,2023-04-15 17:30:46,0,71.87.221.117,100,51,1,2023-04-15 17:30:46,R_22Gg92L9UsS8vly,,,,,42.2705,-71.8447,anonymous,EN,2,1,1,,4,1,,2,,4,4,4,2,4,2,8,1,2,2,2,1,2,,
2023-04-15 20:25:13,2023-04-15 20:27:07,0,68.118.226.186,100,114,1,2023-04-15 20:27:08,R_qVY4Vt4TbwmYsX7,,,,,42.2555,-71.7719,anonymous,EN,3,1,1,,3,1,,2,,4,5,4,2,4,2,7,2,2,3,3,1,2,,
